ID	X	Y	AMEARLY	AMLATE
200001	160331	185309	1010	1025
200002	90487.4	183859	1005	1020
200003	120219	97535.6	510	535
200004	67871.6	184858	1005	1025
200005	173510	20464.1	1045	1055
200006	55552.8	164396	600	610
200007	119220	97121.1	725	745
200008	51501.4	159829	725	740
200009	163786	186238	555	605
200010	52342.7	160705	650	705
200011	69696.6	194663	745	755
200012	86822.6	188196	920	945
200013	57682.1	187532	835	850
200014	44988.2	162830	720	740
200015	122486	99881.3	1040	1050
200016	88294.2	190750	540	600
200017	164516	173672	605	630
200018	173675	22603.5	955	1015
200019	15344.4	205068	915	930
200020	57979.8	191283	545	610
200021	161530	186405	810	835
200022	85230.2	185436	705	720
200023	173839	21411.9	610	620
200024	69642.9	193394	505	535
200025	97760.4	185709	705	720
