ID	X_COORD	Y_COORD	EP_ID	STUDENT_COUNT
100001	24006.5	70409.5	200001	2
100002	35118.8	89892.9	200002	4
100003	31712.2	185212	200003	51
100004	110684	186899	200004	5
100005	58289.8	123946	200005	48
100006	17262.2	80897.6	200006	3
100007	78522.3	172521	200007	2
100008	24439.8	80513.6	200008	51
100009	102862	147916	200009	10
100010	130188	128467	200010	3
100011	13402.3	72248.3	200011	1
100012	121779	154815	200012	8
100013	106029	135477	200007	5
100014	65948.6	109043	200006	12
100015	140170	115156	200007	12
100016	4360.28	101194	200011	55
100017	60250.7	172809	200004	5
100018	140175	123447	200010	5
100019	32805	195618	200004	2
100020	25262.3	166621	200006	1
100021	86935.6	180094	200004	4
100022	148037	148862	200010	3
100023	91079.9	40256.5	200002	38
100024	37982.4	72765	200003	15
100025	54497.4	172040	200004	5
100026	132800	129160	200009	50
100027	131021	91143.3	200002	1
100028	126757	119425	200007	1
100029	113487	132746	200010	2
100030	169389	128405	200012	1
100031	127946	101708	200009	5
100032	78557.2	114298	200009	27
100033	37900.7	164398	200005	3
100034	115859	191054	200010	2
100035	173382	133823	200010	1
100036	135085	90976.9	200010	1
100037	16157.7	95430.2	200011	39
100038	85956	149656	200004	2
100039	11422.5	111068	200003	3
100040	130279	98683.1	200009	23
100041	40286.1	181980	200003	40
100042	75571.5	114512	200008	20
100043	144222	123729	200012	20
100044	174640	125040	200012	1
100045	165193	129054	200010	10
100046	41912.8	25491.8	200011	9
100047	31711.8	85847.5	200003	2
100048	179790	149132	200010	1
100049	84816.1	159432	200007	5
100050	16585.9	156296	200006	50
100051	66262.4	63581.9	200011	1
100052	126221	106351	200007	26
100053	95558.8	83666.7	200007	54
100054	36735.8	176088	200003	61
100055	58135.8	167074	200005	33
100056	5897	51966.6	200001	11
100057	94706.6	131924	200009	24
100058	90328.6	143214	200005	2
100059	18968	77550.1	200001	51
100060	19148.7	24399.4	200001	3
100061	83132.3	129995	200009	5
100062	101780	58323.9	200002	2
100063	29854.2	75208	200003	3
100064	9091.91	48869.2	200011	18
100065	93072.5	159390	200010	5
100066	31715.4	66784.4	200001	53
100067	139438	102025	200010	16
100068	96246.1	140539	200010	51
100069	32005.9	113455	200005	66
100070	108604	173668	200012	26
100071	37639.3	85764.3	200003	21
100072	18545.2	26906.2	200001	1
100073	10499	86766.9	200006	53
100074	169923	129847	200012	17
100075	46719.8	167071	200003	3
100076	29403.8	171678	200005	2
100077	49761.5	93067.3	200003	4
100078	50686.3	74644	200011	47
100079	169260	144044	200012	31
100080	154339	135087	200010	3
100081	114154	157398	200012	13
100082	163596	144229	200010	7
100083	57318.2	87523.6	200002	65
100084	106850	189671	200007	15
100085	108194	176138	200007	3
100086	142553	129720	200009	1
100087	47407.6	70998.7	200001	59
100088	51437.3	57585.5	200002	4
100089	75996.1	34727.3	200008	45
100090	55016.3	131166	200009	5
100091	137319	97490.9	200012	2
100092	151310	137500	200012	2
100093	130033	100191	200010	3
100094	95293.3	159172	200012	54
100095	34420.9	111365	200005	54
100096	165266	146889	200010	37
100097	65498.5	148891	200005	34
100098	117356	95167	200008	11
100099	114401	91072.8	200002	5
100100	22737.7	145883	200005	43
100101	21738.6	172401	200005	9
100102	179014	145086	200010	46
100103	103077	115482	200007	1
100104	171549	138292	200012	1
100105	18148.7	161905	200006	7
100106	105837	60324.6	200002	4
100107	44962.4	46004.5	200011	11
100108	2177.42	147495	200006	3
100109	63892.1	128376	200007	5
100110	113587	187642	200010	41
100111	99038.9	182697	200004	5
100112	136548	148565	200007	53
100113	49890.3	47788.2	200008	4
100114	24257.9	55140.9	200001	4
100115	126234	175502	200012	61
100116	68668.8	107373	200003	11
100117	176722	147566	200010	56
100118	39250.7	177374	200004	6
100119	54158.1	52682.1	200011	5
100120	41035.4	153412	200006	2
100121	37329.5	181636	200005	1
100122	39426.9	167095	200004	15
100123	132470	100345	200010	37
100124	51428.1	80875.8	200002	10
