ID	X	Y	AMEARLY	AMLATE
200001	61470.8	110476	830	855
200002	34567.3	135143	515	530
200003	16236.2	54870.6	755	810
200004	153081	88329.3	520	530
200005	131185	22333.7	900	910
200006	200623	177619	740	755
200007	205483	121150	955	1025
200008	110824	68354.6	525	555
200009	132494	97836.4	920	935
200010	159391	10029.2	755	815
200011	164593	21134.8	920	950
200012	27754.4	54993.1	715	745
200013	42765.9	147480	815	830
200014	110689	148356	735	800
200015	159082	179333	930	950
200016	210330	33129.9	740	755
200017	105455	28340.9	1035	1100
200018	51789.7	26561.9	915	935
200019	100118	182447	940	955
200020	142027	133248	555	625
200021	11627.7	198567	525	545
200022	15024.5	29449.5	815	840
200023	204522	178586	840	855
200024	199437	129845	535	545
200025	193668	159655	625	640
200026	94194.7	146223	850	900
200027	176381	164496	550	620
200028	200178	207030	720	735
200029	161982	66955.9	630	700
200030	48566.9	102490	545	610
200031	78248.5	117515	855	925
200032	62940.4	34522.1	520	545
200033	9848.73	16816.3	450	515
200034	174061	125881	620	635
200035	146345	127602	610	635
200036	45092.8	166868	800	825
200037	17422.2	178612	500	510
200038	62457	22043.6	510	525
200039	183343	106931	920	930
200040	135439	63398	1025	1035
200041	44512.7	81903.1	1035	1050
200042	106216	151431	850	920
200043	7173.85	133074	510	535
200044	80665.5	121092	510	520
200045	190587	15681.9	630	655
200046	46433.4	82902.1	710	725
200047	111056	158630	600	630
200048	45311.9	116909	825	845
200049	187577	104359	630	645
200050	55296	204149	935	945
