ID	X_COORD	Y_COORD	EP_ID	STUDENT_COUNT
100001	61515.8	110399	200001	2
100002	37187.5	111557	200002	3
100003	17935.4	54597.7	200003	20
100004	154874	72190.7	200004	45
100005	114390	7433.68	200005	4
100006	185082	162283	200006	28
100007	193556	164253	200007	4
100008	104645	110368	200008	2
100009	75998.9	99835.8	200009	4
100010	162136	24997.4	200010	4
100011	131343	47615.9	200011	3
100012	85357.9	54993.1	200012	41
100013	23806.9	142683	200013	16
100014	105577	176222	200014	42
100015	161328	196934	200015	1
100016	185802	57766.2	200016	41
100017	145420	25151.6	200017	4
100018	67612.7	8566.18	200018	7
100019	115600	206558	200019	4
100020	137055	125797	200020	5
100021	34912.7	197536	200021	3
100022	46237.6	9843.2	200022	45
100023	179731	149881	200023	5
100024	175081	100576	200024	10
100025	166613	178948	200025	44
100026	91933.9	133250	200026	1
100027	192649	169861	200027	3
100028	192296	187069	200028	5
100029	189497	31453.4	200029	10
100030	55427.4	121311	200030	5
100031	115771	104770	200031	4
100032	64759.4	93277	200032	3
100033	3720.71	18346.5	200033	5
100034	183817	134383	200034	2
100035	186293	107802	200035	14
100036	60262.4	118736	200036	21
100037	8166.21	183302	200037	5
100038	77752.7	29663.8	200038	37
100039	187344	100026	200039	3
100040	120376	97095.3	200040	2
100041	54776.7	49336.3	200041	6
100042	112101	135720	200042	1
100043	7817.58	151392	200043	24
100044	119224	114898	200044	36
100045	177208	27964.7	200045	1
100046	85777.9	84295.7	200046	15
100047	102894	199079	200047	4
100048	64441.6	92225.2	200048	2
100049	190246	58023.5	200049	3
100050	24674.9	206936	200050	40
100051	24068.6	35853.5	200012	16
100052	71555.6	30450.4	200022	1
100053	184192	97812.3	200039	27
100054	154578	181954	200020	2
100055	189661	154088	200025	5
100056	178358	54269.8	200049	4
100057	165922	3352.59	200010	5
100058	139528	27337.6	200010	4
100059	147627	55728.4	200029	1
100060	83985.8	105810	200031	49
100061	896.75	149914	200043	3
100062	162301	12346.7	200010	39
100063	15042.4	59502.6	200003	11
100064	124138	60960.9	200040	1
100065	71870.2	161925	200014	5
100066	67261.4	51840.4	200012	43
100067	69850.9	186587	200036	2
100068	200947	122283	200007	44
100069	36708.7	135169	200043	2
100070	32396.9	207962	200021	33
100071	28977.4	182423	200037	6
100072	37976.3	112153	200048	11
100073	114064	98019.7	200040	1
100074	191174	178586	200023	1
100075	129613	114275	200042	3
100076	61579.2	32700	200032	10
100077	60926.2	143145	200044	3
100078	42143.3	83298.4	200030	4
100079	57427.4	126165	200001	43
100080	71233.1	14565.5	200032	46
100081	27212.7	90287.9	200043	5
100082	112249	147264	200014	5
100083	192678	175806	200024	22
100084	199743	145837	200006	22
100085	10806.5	69242.5	200012	2
100086	43705.4	70600.3	200003	4
100087	34150	208513	200050	5
100088	159135	124844	200035	4
100089	140026	176456	200042	42
100090	98485	93646.2	200046	1
100091	77753.4	204944	200050	7
100092	185819	160072	200025	3
100093	56812	35870.2	200041	24
100094	92652.6	24859.5	200017	6
100095	189567	110483	200049	5
100096	77495.8	109227	200044	15
100097	102866	75540.6	200008	5
100098	47859.1	108015	200013	35
100099	185386	66300.3	200049	26
100100	1020.93	59354.2	200012	2
100101	191176	5457.75	200045	18
100102	184648	120436	200020	34
100103	123036	104581	200009	7
100104	120605	170730	200047	34
100105	31118.6	118043	200036	3
100106	16359.2	55032.2	200003	46
100107	186965	111506	200034	4
100108	65375.4	110372	200001	2
100109	80415.2	122063	200044	11
100110	78571	141857	200031	1
100111	148627	70083.9	200009	41
100112	111052	85531.2	200008	8
100113	115533	71712.9	200008	20
100114	46286.1	1283.01	200038	3
100115	24231.7	41116.6	200003	1
100116	172503	208009	200028	3
100117	54568.9	106381	200044	46
100118	3523.34	33932.5	200022	51
100119	8787.84	16193.3	200033	4
100120	209332	202493	200028	5
100121	97984.5	165883	200042	3
100122	16921	64916	200033	3
100123	179175	167656	200025	23
100124	191104	204547	200028	40
100125	205635	108512	200039	1
100126	202632	107544	200007	17
100127	75736.8	84980.6	200046	1
100128	139676	182525	200014	16
100129	180512	191959	200006	4
100130	52830.5	28183	200018	13
100131	98123	167641	200026	10
100132	88942.7	114133	200044	5
100133	49545.6	58268.6	200030	24
100134	152058	15654.2	200005	1
100135	181024	159400	200027	7
100136	173232	196466	200028	34
100137	91885.6	155626	200044	4
100138	159685	4918.33	200010	24
100139	203253	198544	200027	17
100140	36349.9	203459	200036	21
100141	26504	210505	200021	5
100142	168049	181883	200027	16
100143	180004	156709	200025	5
100144	194069	117273	200007	5
100145	50361.3	193396	200019	4
100146	103360	154402	200042	1
100147	88640.8	157843	200031	30
100148	149684	87620.4	200049	35
100149	44531.6	146915	200013	24
100150	189737	106381	200049	1
100151	130169	207739	200015	28
100152	196594	191911	200015	4
100153	79440.4	99810.9	200044	3
100154	156149	126770	200049	1
100155	205060	5772.59	200011	51
100156	111932	147833	200014	4
100157	84553.5	95487.8	200031	7
100158	19929.6	190721	200050	18
100159	68727.4	85324.9	200031	2
100160	34282.8	41132.8	200003	8
100161	81443.5	110771	200044	9
100162	60651.9	5230.79	200032	5
100163	13828.2	205501	200021	10
100164	89203	149769	200042	19
100165	183397	32093.5	200045	1
100166	48999.1	135595	200046	5
100167	147029	26491.9	200005	3
100168	80789.1	88505	200001	4
100169	23635.3	140280	200048	4
100170	205539	121188	200007	4
100171	42006.6	113326	200031	12
100172	177904	113163	200029	20
100173	191089	132435	200024	2
100174	132788	87157	200008	2
100175	103847	149661	200047	33
100176	111274	126049	200035	35
100177	62009.1	113242	200044	18
100178	53925.5	208932	200050	3
100179	167631	106598	200035	1
100180	7392.3	116832	200002	16
100181	89311.4	143421	200042	2
100182	53182.3	150043	200050	8
100183	11845.3	43751.4	200003	7
100184	77778.8	152888	200031	41
100185	20067.7	71255.6	200046	14
100186	183251	184432	200027	4
100187	27643.2	138807	200002	23
100188	22969.2	100663	200003	3
100189	80977.1	113611	200042	8
100190	195968	108187	200004	5
100191	198664	158834	200015	5
100192	82753.4	30976.7	200018	1
100193	171254	124276	200035	24
100194	62946.4	109279	200001	2
100195	202480	120074	200039	3
100196	148784	61616.2	200040	11
100197	27187.3	147212	200036	29
100198	16127.3	156348	200043	23
100199	79612	133697	200031	2
100200	143891	2465.11	200005	1
100201	195808	118063	200034	3
100202	126191	16376.2	200005	3
100203	157702	161566	200025	1
100204	207430	192494	200006	4
100205	107249	16868	200038	2
100206	52550.5	203829	200036	5
100207	88295.7	18909.7	200005	5
100208	200142	62693.3	200016	34
100209	29228.5	55019.2	200012	5
100210	22701.3	40620.7	200032	15
100211	30862.3	91879.7	200012	26
100212	49173.4	111926	200048	1
100213	158967	175059	200020	56
100214	23161.3	134141	200037	8
100215	181776	204331	200023	2
100216	176592	159211	200027	1
100217	160775	37496.7	200040	17
100218	73019.5	208718	200019	5
100219	151781	23121.5	200010	3
100220	75659.5	192671	200050	20
100221	62258.4	31775.2	200032	1
100222	5981.75	46850.5	200003	5
100223	44214.4	83151.4	200041	5
100224	37598.8	114316	200030	2
100225	24796.3	132294	200043	20
100226	33282.4	74513	200022	3
100227	185102	206075	200023	5
100228	3399.64	155618	200021	2
100229	107225	24887.5	200005	2
100230	126928	163685	200019	5
100231	207769	81459.7	200007	2
100232	204907	49067.1	200045	22
100233	187910	118835	200007	47
100234	107767	208102	200047	5
100235	19137.1	41390.3	200022	25
100236	146530	80182.5	200029	4
100237	207019	175248	200006	3
100238	159536	111772	200035	1
100239	160153	67593.2	200040	4
100240	45759.3	169050	200036	24
100241	118730	145137	200026	3
100242	46488.6	44700.2	200022	8
100243	186817	42358.1	200010	4
100244	187643	165178	200007	1
100245	139568	63544.2	200040	51
100246	19906.5	50621.4	200003	9
100247	176431	113398	200039	21
100248	136664	142570	200042	6
100249	26717.1	191524	200050	38
100250	106903	120384	200042	5
100251	109156	167464	200042	5
100252	54039.9	102076	200013	4
100253	159821	23908.6	200010	15
100254	44126.4	163626	200013	36
100255	57524.4	70729.7	200046	21
100256	167022	41904.8	200005	1
100257	74123.9	151250	200019	5
100258	22387.7	2602.66	200012	19
100259	119718	161068	200047	27
100260	50866	114859	200013	1
100261	120882	81841.7	200040	4
100262	197980	166242	200025	54
100263	114445	147033	200044	13
100264	207882	122475	200007	3
100265	43661.3	118176	200048	3
100266	187619	133655	200006	16
100267	58350.8	46756.8	200018	5
100268	18539.3	188276	200021	36
100269	25775.9	179056	200037	4
100270	80411.5	205930	200050	4
100271	62455	45757.7	200003	4
100272	188670	19048.7	200045	7
100273	73603	695.13	200038	3
100274	116365	147547	200014	51
100275	85703.2	166612	200042	1
100276	73738.4	168754	200014	2
100277	208962	24363.7	200016	4
100278	60565.4	101314	200048	2
100279	167982	144835	200035	4
100280	195581	93190.8	200024	1
100281	30627.6	121465	200048	22
100282	165778	1480.02	200010	30
100283	206280	32873.6	200016	5
100284	26153.1	92510.6	200030	4
100285	134878	127893	200047	1
100286	100470	21030	200032	3
100287	64036.1	19213	200038	1
100288	82894	171753	200042	11
100289	192261	135987	200024	1
100290	35835.7	83321.1	200001	3
100291	42633.1	170591	200037	27
100292	27651	193749	200036	5
100293	177912	76122.4	200029	19
100294	68673.6	101832	200001	5
100295	90401.4	52674	200032	43
100296	194472	113150	200007	13
100297	191662	79135.3	200029	4
100298	11138.8	93157.8	200048	42
100299	187510	132930	200025	14
100300	53086	107029	200030	5
100301	154025	91789	200040	34
100302	161096	98810.4	200035	49
100303	201703	182031	200023	3
100304	96873.2	5429.85	200017	1
100305	57314.3	99169.3	200030	2
100306	80734.1	120860	200044	4
100307	163332	111518	200034	47
100308	63904.7	185014	200019	5
