"exp_id","benchmark","exp_name","max_riding_time","buses","iter"
1,"RSRB01","one",2700.0,31,1
2,"RSRB01","many",2700.0,31,1
3,"RSRB01","Chen",2700.0,31,1
4,"RSRB01","combined",2700.0,31,1
5,"RSRB01","LBH",2700.0,38,1
6,"RSRB02","one",2700.0,31,1
7,"RSRB02","many",2700.0,30,1
8,"RSRB02","Chen",2700.0,30,1
9,"RSRB02","combined",2700.0,29,1
10,"RSRB02","LBH",2700.0,34,1
11,"RSRB03","one",2700.0,56,1
12,"RSRB03","many",2700.0,55,1
13,"RSRB03","Chen",2700.0,56,1
14,"RSRB03","combined",2700.0,55,1
15,"RSRB03","LBH",2700.0,64,1
16,"RSRB04","one",2700.0,63,1
17,"RSRB04","many",2700.0,63,1
18,"RSRB04","Chen",2700.0,62,1
19,"RSRB04","combined",2700.0,62,1
20,"RSRB04","LBH",2700.0,77,1
21,"RSRB05","one",2700.0,101,1
22,"RSRB05","many",2700.0,100,1
23,"RSRB05","Chen",2700.0,105,1
24,"RSRB05","combined",2700.0,100,1
25,"RSRB05","LBH",2700.0,123,1
26,"RSRB06","one",2700.0,104,1
27,"RSRB06","many",2700.0,104,1
28,"RSRB06","Chen",2700.0,106,1
29,"RSRB06","combined",2700.0,103,1
30,"RSRB06","LBH",2700.0,120,1
31,"RSRB07","one",2700.0,173,1
32,"RSRB07","many",2700.0,164,1
33,"RSRB07","Chen",2700.0,173,1
34,"RSRB07","combined",2700.0,161,1
35,"RSRB07","LBH",2700.0,205,1
36,"RSRB08","one",2700.0,181,1
37,"RSRB08","many",2700.0,175,1
38,"RSRB08","Chen",2700.0,188,1
39,"RSRB08","combined",2700.0,173,1
40,"RSRB08","LBH",2700.0,220,1
41,"CSCB01","one",2700.0,33,1
42,"CSCB01","many",2700.0,33,1
43,"CSCB01","Chen",2700.0,34,1
44,"CSCB01","combined",2700.0,33,1
45,"CSCB01","LBH",2700.0,39,1
46,"CSCB02","one",2700.0,37,1
47,"CSCB02","many",2700.0,37,1
