"bus_id","start_loc","end_loc","action","start_time","end_time"
1,900001,100199,"deadhead",05:19:09.943,06:17:32.852
1,100199,100199,"pickup",06:17:32.852,06:19:30.652
1,100199,100835,"travel",06:19:30.652,06:25:17.609
1,100835,100835,"pickup",06:25:17.609,06:25:39.209
1,100835,100774,"travel",06:25:39.209,06:30:58.385
1,100774,100774,"pickup",06:30:58.385,06:31:27.785
1,100774,200001,"travel",06:31:27.785,06:57:25.6
1,200001,200001,"dropoff",06:57:25.6,07:00:00
1,200001,200001,"wait",07:00:00,07:23:57.184
1,200001,100572,"deadhead",07:23:57.184,07:50:27.15
1,100572,100572,"pickup",07:50:27.15,07:50:59.15
1,100572,100119,"travel",07:50:59.15,08:04:53.286
1,100119,100119,"pickup",08:04:53.286,08:06:48.486
1,100119,100472,"travel",08:06:48.486,08:21:33.895
1,100472,100472,"pickup",08:21:33.895,08:22:05.895
1,100472,200028,"travel",08:22:05.895,08:32:25.6
1,200028,200028,"dropoff",08:32:25.6,08:35:00
1,200028,900001,"deadhead",08:35:00,09:08:47.42
2,900001,100560,"deadhead",05:44:41.195,06:22:34.582
2,100560,100560,"pickup",06:22:34.582,06:23:01.382
2,100560,100315,"travel",06:23:01.382,06:31:27.53
2,100315,100315,"pickup",06:31:27.53,06:31:59.53
2,100315,100834,"travel",06:31:59.53,06:36:58.302
2,100834,100834,"pickup",06:36:58.302,06:37:22.502
2,100834,100581,"travel",06:37:22.502,06:41:34.911
2,100581,100581,"pickup",06:41:34.911,06:43:17.111
2,100581,200001,"travel",06:43:17.111,06:57:25.6
2,200001,200001,"dropoff",06:57:25.6,07:00:00
2,200001,200001,"wait",07:00:00,07:43:40.316
2,200001,100280,"deadhead",07:43:40.316,08:15:54.89
2,100280,100280,"pickup",08:15:54.89,08:18:49.89
2,100280,200009,"travel",08:18:49.89,08:32:25.6
2,200009,200009,"dropoff",08:32:25.6,08:35:00
2,200009,200009,"wait",08:35:00,09:05:40.2
2,200009,100705,"deadhead",09:05:40.2,10:07:15.77
2,100705,100705,"pickup",10:07:15.77,10:08:42.37
2,100705,100290,"travel",10:08:42.37,10:11:43.26
2,100290,100290,"pickup",10:11:43.26,10:12:15.26
2,100290,200010,"travel",10:12:15.26,10:42:25.6
2,200010,200010,"dropoff",10:42:25.6,10:45:00
2,200010,900001,"deadhead",10:45:00,11:17:41.386
3,900001,100586,"deadhead",03:51:56.691,04:47:41.18
3,100586,100586,"pickup",04:47:41.18,04:48:10.58
3,100586,100796,"travel",04:48:10.58,04:53:34.784
3,100796,100796,"pickup",04:53:34.784,04:53:56.384
3,100796,100214,"travel",04:53:56.384,05:03:21.884
3,100214,100214,"pickup",05:03:21.884,05:03:51.284
3,100214,100155,"travel",05:03:51.284,05:13:23.705
3,100155,100155,"pickup",05:13:23.705,05:14:19.105
3,100155,100116,"travel",05:14:19.105,05:16:24.73
3,100116,100116,"pickup",05:16:24.73,05:16:56.73
3,100116,100539,"travel",05:16:56.73,05:28:29.73
3,100539,100539,"pickup",05:28:29.73,05:28:53.93
3,100539,200002,"travel",05:28:53.93,05:32:25.6
3,200002,200002,"dropoff",05:32:25.6,05:35:00
3,200002,200002,"wait",05:35:00,05:57:03.439
3,200002,100837,"deadhead",05:57:03.439,07:32:30.456
3,100837,100837,"pickup",07:32:30.456,07:33:02.456
3,100837,100946,"travel",07:33:02.456,07:47:33.99
3,100946,100946,"pickup",07:47:33.99,07:47:58.19
3,100946,200011,"travel",07:47:58.19,08:17:25.6
3,200011,200011,"dropoff",08:17:25.6,08:20:00
3,200011,900001,"deadhead",08:20:00,09:18:34.007
4,900001,100861,"deadhead",03:39:49.732,04:49:27.187
4,100861,100861,"pickup",04:49:27.187,04:51:58.787
4,100861,100002,"travel",04:51:58.787,04:56:15.052
4,100002,100002,"pickup",04:56:15.052,04:56:36.652
4,100002,200002,"travel",04:56:36.652,05:32:25.6
4,200002,200002,"dropoff",05:32:25.6,05:35:00
4,200002,200002,"wait",05:35:00,05:53:30.67
4,200002,100371,"deadhead",05:53:30.67,06:17:51.875
4,100371,100371,"pickup",06:17:51.875,06:18:47.275
4,100371,100562,"travel",06:18:47.275,06:26:49.58
4,100562,100562,"pickup",06:26:49.58,06:29:08.18
4,100562,100248,"travel",06:29:08.18,06:37:33.287
4,100248,100248,"pickup",06:37:33.287,06:37:54.887
4,100248,200022,"travel",06:37:54.887,06:57:25.6
4,200022,200022,"dropoff",06:57:25.6,07:00:00
4,200022,200022,"wait",07:00:00,07:44:54.182
4,200022,100535,"deadhead",07:44:54.182,07:57:22.675
4,100535,100535,"pickup",07:57:22.675,07:58:02.475
4,100535,100998,"travel",07:58:02.475,08:13:09.934
4,100998,100998,"pickup",08:13:09.934,08:15:18.134
4,100998,200019,"travel",08:15:18.134,08:22:25.6
4,200019,200019,"dropoff",08:22:25.6,08:25:00
4,200019,900001,"deadhead",08:25:00,09:16:48.102
5,900001,100958,"deadhead",04:06:15.718,04:52:56.222
5,100958,100958,"pickup",04:52:56.222,04:54:46.222
5,100958,100319,"travel",04:54:46.222,04:57:26.882
5,100319,100319,"pickup",04:57:26.882,04:57:48.482
5,100319,200002,"travel",04:57:48.482,05:32:25.6
5,200002,200002,"dropoff",05:32:25.6,05:35:00
5,200002,200002,"wait",05:35:00,06:25:02.78
5,200002,100987,"deadhead",06:25:02.78,06:33:08.166
5,100987,100987,"pickup",06:33:08.166,06:33:29.766
5,100987,100219,"travel",06:33:29.766,06:51:53.428
5,100219,100219,"pickup",06:51:53.428,06:54:14.628
5,100219,100033,"travel",06:54:14.628,07:08:23.632
5,100033,100033,"pickup",07:08:23.632,07:09:06.032
5,100033,200033,"travel",07:09:06.032,07:17:25.6
5,200033,200033,"dropoff",07:17:25.6,07:20:00
5,200033,200033,"wait",07:20:00,07:23:39.123
5,200033,100578,"deadhead",07:23:39.123,07:59:07.077
5,100578,100578,"pickup",07:59:07.077,07:59:28.677
5,100578,100721,"travel",07:59:28.677,08:06:05.564
5,100721,100721,"pickup",08:06:05.564,08:08:05.964
5,100721,200009,"travel",08:08:05.964,08:32:25.6
5,200009,200009,"dropoff",08:32:25.6,08:35:00
5,200009,900001,"deadhead",08:35:00,08:40:22.977
6,900001,100386,"deadhead",04:20:02.284,04:56:14.069
6,100386,100386,"pickup",04:56:14.069,04:56:46.069
6,100386,100795,"travel",04:56:46.069,05:00:08.331
6,100795,100795,"pickup",05:00:08.331,05:02:45.131
6,100795,100168,"travel",05:02:45.131,05:11:08.353
6,100168,100168,"pickup",05:11:08.353,05:11:37.753
6,100168,200002,"travel",05:11:37.753,05:32:25.6
6,200002,200002,"dropoff",05:32:25.6,05:35:00
6,200002,200002,"wait",05:35:00,06:08:27.884
6,200002,100274,"deadhead",06:08:27.884,06:20:33.884
6,100274,100274,"pickup",06:20:33.884,06:21:03.284
6,100274,100380,"travel",06:21:03.284,06:26:50.125
6,100380,100380,"pickup",06:26:50.125,06:27:22.125
6,100380,100409,"travel",06:27:22.125,06:40:59.011
6,100409,100409,"pickup",06:40:59.011,06:42:51.611
6,100409,200022,"travel",06:42:51.611,06:57:25.6
6,200022,200022,"dropoff",06:57:25.6,07:00:00
6,200022,200022,"wait",07:00:00,07:10:57.489
6,200022,100372,"deadhead",07:10:57.489,07:49:34.972
6,100372,100372,"pickup",07:49:34.972,07:49:56.572
6,100372,200019,"travel",07:49:56.572,08:22:25.6
6,200019,200019,"dropoff",08:22:25.6,08:25:00
6,200019,900001,"deadhead",08:25:00,09:16:48.102
7,900001,100344,"deadhead",04:35:24.8,04:55:25.073
7,100344,100344,"pickup",04:55:25.073,04:57:25.473
7,100344,100924,"travel",04:57:25.473,05:09:41.018
7,100924,100924,"pickup",05:09:41.018,05:10:02.618
7,100924,100986,"travel",05:10:02.618,05:15:42.845
7,100986,100986,"pickup",05:15:42.845,05:16:09.645
7,100986,200002,"travel",05:16:09.645,05:32:25.6
7,200002,200002,"dropoff",05:32:25.6,05:35:00
7,200002,200002,"wait",05:35:00,06:13:17.432
7,200002,100204,"deadhead",06:13:17.432,06:41:36.523
7,100204,100204,"pickup",06:41:36.523,06:44:00.323
7,100204,100608,"travel",06:44:00.323,07:10:05.573
7,100608,100608,"pickup",07:10:05.573,07:10:27.173
7,100608,100781,"travel",07:10:27.173,07:12:10.502
7,100781,100781,"pickup",07:12:10.502,07:12:34.702
7,100781,200033,"travel",07:12:34.702,07:17:25.6
7,200033,200033,"dropoff",07:17:25.6,07:20:00
7,200033,200033,"wait",07:20:00,08:09:07.811
7,200033,100676,"deadhead",08:09:07.811,08:13:48.789
7,100676,100676,"pickup",08:13:48.789,08:15:33.589
7,100676,100182,"travel",08:15:33.589,08:37:41.644
7,100182,100182,"pickup",08:37:41.644,08:39:16.044
7,100182,200040,"travel",08:39:16.044,08:52:25.6
7,200040,200040,"dropoff",08:52:25.6,08:55:00
7,200040,900001,"deadhead",08:55:00,09:45:49.909
8,900001,100359,"deadhead",03:33:05.427,04:49:35.632
8,100359,100359,"pickup",04:49:35.632,04:50:51.832
8,100359,100257,"travel",04:50:51.832,04:57:39.355
8,100257,100257,"pickup",04:57:39.355,04:58:13.955
8,100257,100453,"travel",04:58:13.955,05:01:46.716
8,100453,100453,"pickup",05:01:46.716,05:02:08.316
8,100453,200002,"travel",05:02:08.316,05:32:25.6
8,200002,200002,"dropoff",05:32:25.6,05:35:00
8,200002,200002,"wait",05:35:00,05:50:51.802
8,200002,100846,"deadhead",05:50:51.802,05:56:29.882
8,100846,100846,"pickup",05:56:29.882,05:56:59.282
8,100846,100804,"travel",05:56:59.282,06:01:29.418
8,100804,100804,"pickup",06:01:29.418,06:03:45.418
8,100804,100693,"travel",06:03:45.418,06:15:42.544
8,100693,100693,"pickup",06:15:42.544,06:16:14.544
8,100693,200026,"travel",06:16:14.544,06:22:25.6
8,200026,200026,"dropoff",06:22:25.6,06:25:00
8,200026,200026,"wait",06:25:00,07:22:14.095
8,200026,100955,"deadhead",07:22:14.095,07:48:30.705
8,100955,100955,"pickup",07:48:30.705,07:51:23.105
8,100955,200019,"travel",07:51:23.105,08:22:25.6
8,200019,200019,"dropoff",08:22:25.6,08:25:00
8,200019,200019,"wait",08:25:00,08:37:10.875
8,200019,100803,"deadhead",08:37:10.875,09:14:50.24
8,100803,100803,"pickup",09:14:50.24,09:15:17.04
8,100803,100474,"travel",09:15:17.04,09:16:39.795
8,100474,100474,"pickup",09:16:39.795,09:17:09.195
8,100474,100457,"travel",09:17:09.195,09:44:37.822
8,100457,100457,"pickup",09:44:37.822,09:44:59.422
8,100457,200015,"travel",09:44:59.422,09:52:25.6
8,200015,200015,"dropoff",09:52:25.6,09:55:00
8,200015,900001,"deadhead",09:55:00,11:08:14.277
9,900001,100338,"deadhead",04:08:42.739,04:47:41.409
9,100338,100338,"pickup",04:47:41.409,04:49:26.209
9,100338,100185,"travel",04:49:26.209,05:08:59.881
9,100185,100185,"pickup",05:08:59.881,05:09:42.281
9,100185,200002,"travel",05:09:42.281,05:32:25.6
9,200002,200002,"dropoff",05:32:25.6,05:35:00
9,200002,200002,"wait",05:35:00,05:53:19.811
9,200002,100752,"deadhead",05:53:19.811,06:28:27.345
9,100752,100752,"pickup",06:28:27.345,06:28:48.945
9,100752,100131,"travel",06:28:48.945,06:36:25.968
9,100131,100131,"pickup",06:36:25.968,06:38:21.168
9,100131,200018,"travel",06:38:21.168,07:12:25.6
9,200018,200018,"dropoff",07:12:25.6,07:15:00
9,200018,200018,"wait",07:15:00,07:26:51.031
9,200018,100407,"deadhead",07:26:51.031,07:59:11.997
9,100407,100407,"pickup",07:59:11.997,08:01:20.197
9,100407,200003,"travel",08:01:20.197,08:32:25.6
9,200003,200003,"dropoff",08:32:25.6,08:35:00
9,200003,900001,"deadhead",08:35:00,09:11:05.199
10,900001,100161,"deadhead",04:18:36.66,05:00:49.601
10,100161,100161,"pickup",05:00:49.601,05:03:18.601
10,100161,200004,"travel",05:03:18.601,05:37:25.6
10,200004,200004,"dropoff",05:37:25.6,05:40:00
10,200004,200004,"wait",05:40:00,06:21:13.586
10,200004,100007,"deadhead",06:21:13.586,07:00:25.385
10,100007,100007,"pickup",07:00:25.385,07:03:15.185
10,100007,200007,"travel",07:03:15.185,07:12:25.6
10,200007,200007,"dropoff",07:12:25.6,07:15:00
10,200007,200007,"wait",07:15:00,07:39:08.654
10,200007,100782,"deadhead",07:39:08.654,08:02:21.132
10,100782,100782,"pickup",08:02:21.132,08:05:00.532
10,100782,100501,"travel",08:05:00.532,08:11:27.268
10,100501,100501,"pickup",08:11:27.268,08:12:07.068
